pid,artist,location,commemorative_style,label,_date,object_type,concerning,image_credit,order,layout,collection,thumbnail,full,manifest
pic1,Unknown,"Vaudreuil, Haiti",Contains opacity,Bois Caïman Mural,Unknown,Mural,Haiti,Christopher Robin,0,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic1_pic1a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic1_pic1a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic1/manifest.json
pic2,Unknown,"Vertières, Haiti",NA,Battle of Vertières,"Unknown, pre-1995",Monument,Haiti,Christopher Robin,1,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic2/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic2/full/1140,/0/default.jpg",/img/derivatives/iiif/pic2/manifest.json
pic11,Various,Brazil (various),NA,Zumbi,N/A,Public Statue/Commercial business,Brazil,SJ Lauro,10,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic11_pic11a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic11_pic11a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic11/manifest.json
pic12,Various,"Salvador, Brazil",NA,Anastácia,N/A,Shrine,Brazil,SJ Lauro,11,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic12_pic12a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic12_pic12a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic12/manifest.json
pic13,Dorothy Spradley,"Savannah, GA, US",NA,African American Monument,2002,Monument,US,Christina Connor,12,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic13_pic13a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic13_pic13a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic13/manifest.json
pic14,Woodly Caymitte	,"Bordeaux, France",NA,Statue of enslaved woman Modeste Testas (1765 – 1870),2019,Monument,"Haiti, Ethiopia, France",Unknown Passerby,13,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic14_pic14a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic14_pic14a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic14/manifest.json
pic15,Fabrice Hybert,"Paris, France",NA,"Le Cri, L'Ecrit ",2007,Sculpture,Global transatlantic slave trade and self-liberation,SJ Lauro,14,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic15_pic15a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic15_pic15a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic15/manifest.json
pic16,Didier Audrat,"Paris, France",NA,"Statue of Solitude, la mulâtresse",2022,Public Statue,Guadeloupe,SJ Lauro,15,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic16_pic16a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic16_pic16a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic16/manifest.json
pic3,Dorothy Spradley,"Savannah, GA, US",NA,African American Monument,2002,Monument,US,Christina Connor,2,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic3_pic3a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic3_pic3a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic3/manifest.json
pic4,N/A,"Richmond, VA, US",Contains opacity,Sites related to Gabriel Prosser,N/A,Historical Marker/Ruins,"Richmond, VA, US",Christina Connor,3,minicomp_item,minicomp,"/img/derivatives/iiif/images/pic4_pic4a/full/250,/0/default.jpg","/img/derivatives/iiif/images/pic4_pic4a/full/1140,/0/default.jpg",/img/derivatives/iiif/pic4/manifest.json
